Project name,Country,Site,Latitude,Longitude,Exposure,Quadrat size,Reef type,Reef zone,Date,Start time,Tide,Visibility,Current,Depth,Management name,Management secondary name,Management year established,Management size,Governance,Estimated compliance,Management rules,Observer,Quadrat collection label,Site notes,Sampling event notes,Management notes,Benthic attribute,Growth form,Normal count,Pale count,0-20% bleached count,20-50% bleached count,50-80% bleached count,80-100% bleached count,Recently dead count,Observation notes
Fiji Bleaching 2019,Fiji,BU02,-17.746,178.76,very sheltered,1.50,patch,back reef,2019-05-29,12:10:00,,1-5m - poor,,4.0,Bureta tabu,,,0.0,community/local government,,Periodic Closure,Emily Darling,,,27C water temp,,Stylophora,,1,0,0,0,0,0,0,
Fiji Bleaching 2019,Fiji,BU02,-17.746,178.76,very sheltered,1.50,patch,back reef,2019-05-29,12:10:00,,1-5m - poor,,4.0,Bureta tabu,,,0.0,community/local government,,Periodic Closure,Emily Darling,,,27C water temp,,Porites,Massive,7,9,0,0,0,0,0,
Fiji Bleaching 2019,Fiji,BU02,-17.746,178.76,very sheltered,1.50,patch,back reef,2019-05-29,12:10:00,,1-5m - poor,,4.0,Bureta tabu,,,0.0,community/local government,,Periodic Closure,Emily Darling,,,27C water temp,,Lobophyllia,,1,0,0,0,0,0,0,
Fiji Bleaching 2019,Fiji,BU02,-17.746,178.76,very sheltered,1.50,patch,back reef,2019-05-29,12:10:00,,1-5m - poor,,4.0,Bureta tabu,,,0.0,community/local government,,Periodic Closure,Emily Darling,,,27C water temp,,Goniastrea,,3,0,0,0,0,0,0,
Fiji Bleaching 2019,Fiji,BU02,-17.746,178.76,very sheltered,1.50,patch,back reef,2019-05-29,12:10:00,,1-5m - poor,,4.0,Bureta tabu,,,0.0,community/local government,,Periodic Closure,Emily Darling,,,27C water temp,,Favia,,0,1,0,0,0,0,0,
Fiji Bleaching 2019,Fiji,BU02,-17.746,178.76,very sheltered,1.50,patch,back reef,2019-05-29,12:10:00,,1-5m - poor,,4.0,Bureta tabu,,,0.0,community/local government,,Periodic Closure,Emily Darling,,,27C water temp,,Millepora,,5,0,0,0,0,0,0,
Fiji Bleaching 2019,Fiji,BU03,-17.734,178.75900000000001,very sheltered,1.50,fringing,back reef,2019-05-28,03:45:00,,<1m - bad,,3.0,Open,,,,,,Open Access,Emily Darling,,,,,Montipora,,150,5,0,0,0,0,0,
Fiji Bleaching 2019,Fiji,BU03,-17.734,178.75900000000001,very sheltered,1.50,fringing,back reef,2019-05-28,03:45:00,,<1m - bad,,3.0,Open,,,,,,Open Access,Emily Darling,,,,,Turbinaria-coral,,17,0,0,0,0,0,0,
Fiji Bleaching 2019,Fiji,BU03,-17.734,178.75900000000001,very sheltered,1.50,fringing,back reef,2019-05-28,03:45:00,,<1m - bad,,3.0,Open,,,,,,Open Access,Emily Darling,,,,,Porites,Massive,76,19,0,0,0,0,0,
Fiji Bleaching 2019,Fiji,BU03,-17.734,178.75900000000001,very sheltered,1.50,fringing,back reef,2019-05-28,03:45:00,,<1m - bad,,3.0,Open,,,,,,Open Access,Emily Darling,,,,,Fungia,,1,4,0,0,0,2,0,
